VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State lgd code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
District lgd code,DistrictCode,Key Identifier,,0,,,,District LGD Code
District,DistrictName,Key Identifier,,0,,,,District
YearCode,YearCode,Key Identifier,"",0,"","","",YearCode
Year,Year,Key Identifier,"",0,"","","",Year
Insurance units,I7247_5,Numeric Variable,Number,1,sum,WeighingRatio_LandArea,Land Area from Census,"Insurance units The size of the unit of Insurance shall depend on the area under cultivation within the unit All the farmers within a unit are assumed to face similar risk exposures, earn comparable farm income per hectare, and experience a similar extent of crop loss due to the operation of an insured peril"
Farmers covered under Pradhan Mantri Fasal Bima Yojana ( PMFBY ),I7247_6,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Farmers covered under Pradhan Mantri Fasal Bima Yojana (PMFBY)
Applications of Loanee Farmers,I7247_7,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Farmers in the notified area who possess a Crop Loan account or Kisan Credit Card (KCC) account are called Loanee Farmers to whom credit limit is sanctioned or renewed for the notified crop during the crop season
Applications of Non-Loanee Farmers,I7247_8,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Farmers who dont possess a Crop Loan account or Kisan Credit Card (KCC) account are Non Loanee farmers
Insured land area under Pradhan Mantri Fasal Bima Yojana ( PMFBY ),I7247_9,Numeric Variable,Ha ( Hectares ),1000,sum,WeighingRatio_LandArea,Land Area from Census,Area insured under Pradhan Mantri Fasal Bima Yojana (PMFBY) in thousand hectares
Farmers premium amount,I7247_10,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Farmer’s premium amount in lakh Premium amount paid periodically to the insurer by the insured for covering his risk the amount payable by the farmers
